date,post_count,post_count_diff,prob_epidemic
2017-02-27,18,3.0,
2017-02-28,30,12.0,
2017-03-01,12,-18.0,0.9954208367987294
2017-03-02,26,14.0,
2017-03-03,29,3.0,
2017-03-04,13,-16.0,
2017-03-05,10,-3.0,
2017-03-06,17,7.0,0.48107282008552654
2017-03-07,16,-1.0,
2017-03-08,12,-4.0,
2017-03-09,19,7.0,
2017-03-10,10,-9.0,
2017-03-11,14,4.0,0.35893464412095893
2017-03-12,6,-8.0,
2017-03-13,14,8.0,
2017-03-14,13,-1.0,
2017-03-15,5,-8.0,
2017-03-16,15,10.0,0.13120692717205715
2017-03-17,13,-2.0,
2017-03-18,3,-10.0,
2017-03-19,2,-1.0,
2017-03-20,15,13.0,
2017-03-21,8,-7.0,0.2866335985922323
2017-03-22,3,-5.0,
2017-03-23,11,8.0,
2017-03-24,5,-6.0,
2017-03-25,3,-2.0,
2017-03-26,6,3.0,0.9481647917776905
2017-03-27,4,-2.0,
2017-03-28,13,9.0,
2017-03-29,7,-6.0,
2017-03-30,8,1.0,
2017-03-31,9,1.0,0.5638013325712955
2017-04-01,4,-5.0,
2017-04-02,9,5.0,
2017-04-03,11,2.0,
2017-04-04,12,1.0,
2017-04-05,11,-1.0,0.492336918999641
2017-04-06,26,15.0,
2017-04-07,13,-13.0,
2017-04-08,1,-12.0,
2017-04-09,2,1.0,
2017-04-10,17,15.0,1.0
2017-04-11,15,-2.0,
2017-04-12,23,8.0,
2017-04-13,21,-2.0,
2017-04-14,7,-14.0,
2017-04-15,2,-5.0,1.0
2017-04-16,8,6.0,
2017-04-17,12,4.0,
2017-04-18,11,-1.0,
2017-04-19,8,-3.0,
2017-04-20,12,4.0,0.7414796540832732
2017-04-21,8,-4.0,
2017-04-22,3,-5.0,
2017-04-23,5,2.0,
2017-04-24,14,9.0,
2017-04-25,17,3.0,0.058396025111682764
2017-04-26,20,3.0,
2017-04-27,7,-13.0,
2017-04-28,16,9.0,
2017-04-29,8,-8.0,
2017-04-30,5,-3.0,0.579939443633502
2017-05-01,31,26.0,
2017-05-02,43,12.0,
2017-05-03,36,-7.0,
2017-05-04,19,-17.0,
2017-05-05,18,-1.0,0.26192460127973344
2017-05-06,5,-13.0,
2017-05-07,13,8.0,
2017-05-08,7,-6.0,
2017-05-09,12,5.0,
2017-05-10,11,-1.0,0.4419182451070576
2017-05-11,12,1.0,
2017-05-12,17,5.0,
2017-05-13,5,-12.0,
2017-05-14,2,-3.0,
2017-05-15,8,6.0,0.6114275578181941
2017-05-16,29,21.0,
2017-05-17,20,-9.0,
2017-05-18,21,1.0,
2017-05-19,8,-13.0,
2017-05-20,2,-6.0,0.5325549264092561
2017-05-21,4,2.0,
2017-05-22,6,2.0,
2017-05-23,16,10.0,
2017-05-24,8,-8.0,
2017-05-25,14,6.0,1.0
2017-05-26,14,0.0,
2017-05-27,5,-9.0,
2017-05-28,7,2.0,
2017-05-29,6,-1.0,
2017-05-30,15,9.0,9.863790002359762e-09
2017-05-31,15,0.0,
2017-06-01,13,-2.0,
2017-06-02,9,-4.0,
2017-06-03,2,-7.0,
2017-06-04,6,4.0,6.059124777134802e-15
2017-06-05,27,21.0,
2017-06-06,14,-13.0,
2017-06-07,25,11.0,
2017-06-08,16,-9.0,
2017-06-09,14,-2.0,0.5191985597205927
2017-06-10,10,-4.0,
2017-06-11,3,-7.0,
2017-06-12,8,5.0,
2017-06-13,12,4.0,
2017-06-14,8,-4.0,0.29567175365021947
2017-06-15,13,5.0,
2017-06-16,8,-5.0,
2017-06-17,2,-6.0,
2017-06-18,9,7.0,
2017-06-19,15,6.0,5.3846569346778e-12
2017-06-20,27,12.0,
2017-06-21,31,4.0,
2017-06-22,33,2.0,
2017-06-23,17,-16.0,
2017-06-24,2,-15.0,1.0
2017-06-25,9,7.0,
2017-06-26,16,7.0,
2017-06-27,17,1.0,
2017-06-28,12,-5.0,
2017-06-29,13,1.0,0.8231142964665259
2017-06-30,9,-4.0,
2017-07-01,7,-2.0,
2017-07-02,9,2.0,
2017-07-03,12,3.0,
2017-07-04,7,-5.0,0.22397436780802082
2017-07-05,19,12.0,
2017-07-06,7,-12.0,
2017-07-07,9,2.0,
2017-07-08,7,-2.0,
2017-07-09,2,-5.0,0.2853899413962379
2017-07-10,17,15.0,
2017-07-11,15,-2.0,
2017-07-12,17,2.0,
2017-07-13,18,1.0,
2017-07-14,14,-4.0,0.33693725196609003
2017-07-15,7,-7.0,
2017-07-16,2,-5.0,
2017-07-17,7,5.0,
2017-07-18,14,7.0,
2017-07-19,9,-5.0,0.6116913871323257
2017-07-20,7,-2.0,
2017-07-21,9,2.0,
2017-07-22,5,-4.0,
2017-07-23,3,-2.0,
2017-07-24,15,12.0,0.9965721046139442
2017-07-25,58,43.0,
2017-07-26,35,-23.0,
2017-07-27,23,-12.0,
2017-07-28,9,-14.0,
2017-07-29,7,-2.0,0.2632114092763629
2017-07-30,8,1.0,
2017-07-31,21,13.0,
2017-08-01,18,-3.0,
2017-08-02,10,-8.0,
2017-08-03,17,7.0,0.023169397307288647
2017-08-04,16,-1.0,
2017-08-05,9,-7.0,
2017-08-06,4,-5.0,
2017-08-07,10,6.0,
2017-08-08,10,0.0,0.012968119506923146
2017-08-09,17,7.0,
2017-08-10,14,-3.0,
2017-08-11,12,-2.0,
2017-08-12,5,-7.0,
2017-08-13,3,-2.0,0.010656720737265703
2017-08-14,7,4.0,
2017-08-15,8,1.0,
2017-08-16,12,4.0,
2017-08-17,6,-6.0,
2017-08-18,11,5.0,0.014812934399672628
2017-08-19,3,-8.0,
2017-08-20,4,1.0,
2017-08-21,7,3.0,
2017-08-22,6,-1.0,
2017-08-23,14,8.0,0.0233322229070245
2017-08-24,5,-9.0,
2017-08-25,7,2.0,
2017-08-26,4,-3.0,
2017-08-27,7,3.0,
2017-08-28,11,4.0,0.01329932461635979
2017-08-29,7,-4.0,
2017-08-30,14,7.0,
2017-08-31,12,-2.0,
2017-09-01,9,-3.0,
2017-09-02,5,-4.0,0.009254427238206967
2017-09-03,4,-1.0,
2017-09-04,4,0.0,
2017-09-05,7,3.0,
2017-09-06,8,1.0,
2017-09-07,5,-3.0,0.008083670909297416
2017-09-08,5,0.0,
2017-09-09,5,0.0,
2017-09-10,3,-2.0,
2017-09-11,5,2.0,
2017-09-12,8,3.0,0.00587368826479942
2017-09-13,9,1.0,
2017-09-14,7,-2.0,
2017-09-15,9,2.0,
2017-09-16,3,-6.0,
2017-09-17,4,1.0,0.5145358275946286
2017-09-18,5,1.0,
2017-09-19,4,-1.0,
2017-09-20,28,24.0,
2017-09-21,29,1.0,
2017-09-22,6,-23.0,0.9999993371451147
2017-09-23,6,0.0,
2017-09-24,2,-4.0,
2017-09-25,9,7.0,
2017-09-26,15,6.0,
2017-09-27,8,-7.0,0.07710195622878568
2017-09-28,4,-4.0,
2017-09-29,5,1.0,
2017-09-30,4,-1.0,
2017-10-01,4,0.0,
2017-10-02,3,-1.0,0.019578107674672846
2017-10-03,12,9.0,
2017-10-04,3,-9.0,
2017-10-05,3,0.0,
2017-10-06,4,1.0,
2017-10-07,4,0.0,0.09415131845524254
2017-10-08,3,-1.0,
2017-10-09,11,8.0,
2017-10-10,6,-5.0,
2017-10-11,7,1.0,
2017-10-12,13,6.0,0.07330792421875396
2017-10-13,8,-5.0,
2017-10-14,4,-4.0,
2017-10-15,2,-2.0,
2017-10-16,9,7.0,
2017-10-17,7,-2.0,0.11897857378753036
2017-10-18,13,6.0,
2017-10-19,8,-5.0,
2017-10-20,4,-4.0,
2017-10-21,9,5.0,
2017-10-22,3,-6.0,0.034171855222121746
2017-10-23,16,13.0,
